Date,count,rolling mean,Sentiment Polarity
2016-11-19,4.0,4.7,0.3822916666666667
2016-11-20,4.0,3.4,0.09939880952380953
2016-11-21,5.0,3.6,0.12270454545454546
2016-11-22,1.0,3.6,0.25
2016-11-23,10.0,4.1,0.1290681818181818
2016-11-24,1.0,4.1,0.04999999999999999
2016-11-26,3.0,3.6,0.29645202020202016
2016-11-27,1.0,3.5,-0.25
2016-11-28,12.0,4.2,0.052853009259259266
2016-11-29,3.0,4.4,0.2474747474747475
2016-11-30,12.0,5.2,-0.017013888888888867
2016-12-01,11.0,5.9,0.20097107438016526
2016-12-02,4.0,5.8,0.26927083333333335
2016-12-03,1.0,5.8,0.35
2016-12-04,6.0,5.4,0.1828373015873016
2016-12-05,11.0,6.4,-0.026303948576675854
2016-12-06,3.0,6.4,0.04236111111111113
2016-12-07,5.0,6.8,0.03837121212121213
2016-12-08,4.0,6.0,0.375
2016-12-09,5.0,6.2,0.1
2016-12-10,3.0,5.3,0.056818181818181816
2016-12-11,9.0,5.1,0.14783950617283953
2016-12-12,4.0,5.1,0.3208333333333333
2016-12-13,7.0,5.7,-0.04668367346938777
2016-12-14,8.0,5.9,0.18600852272727275
2016-12-15,3.0,5.1,0.6068181818181818
2016-12-16,5.0,5.3,0.0208611111111111
2016-12-17,4.0,5.2,0.1875
2016-12-18,6.0,5.4,0.23049242424242425
2016-12-19,3.0,5.2,0.08333333333333333
2016-12-20,2.0,5.1,0.4166666666666667
2016-12-21,6.0,4.8,0.1502777777777778
2016-12-22,3.0,4.7,0.23194444444444443
2016-12-23,5.0,4.5,0.335
2016-12-24,6.0,4.3,0.028472222222222232
2016-12-25,4.0,4.4,0.20468750000000002
2016-12-26,2.0,4.1,0.29261363636363635
2016-12-27,3.0,4.0,0.10615079365079365
2016-12-28,3.0,3.7,0.5606944444444445
2016-12-29,5.0,3.9,0.23700000000000002
2016-12-30,1.0,3.8,0.0
2016-12-31,3.0,3.5,0.22609126984126984
2017-01-01,3.0,3.5,0.7574242424242424
2017-01-02,6.0,3.6,0.49685606060606063
2017-01-03,7.0,3.7,0.1514069264069264
2017-01-04,10.0,4.3,-0.028749999999999987
2017-01-05,10.0,5.1,-0.11661742424242423
2017-01-06,6.0,5.4,-0.05843434343434342
2017-01-07,12.0,6.3,0.09381944444444444
2017-01-08,8.0,6.6,0.3293055555555555
2017-01-09,6.0,7.1,0.1239384920634921
2017-01-10,8.0,7.6,0.11934027777777781
2017-01-11,4.0,7.7,0.051250000000000004
2017-01-12,7.0,7.8,-0.05440476190476191
2017-01-13,6.0,7.7,0.1388888888888889
2017-01-14,8.0,7.5,0.09812500000000002
2017-01-15,3.0,6.8,-0.16111111111111112
2017-01-16,8.0,7.0,0.01668357683982685
2017-01-17,3.0,6.1,0.25527777777777777
2017-01-18,13.0,6.6,0.21675199800199804
2017-01-19,8.0,6.8,0.26190104166666667
2017-01-20,8.0,6.8,0.36180555555555555
2017-01-21,13.0,7.7,0.14395604395604394
2017-01-22,3.0,7.3,0.4479166666666667
2017-01-23,4.0,7.1,0.1783333333333334
2017-01-24,1.0,6.4,0.13333333333333333
2017-01-25,4.0,6.5,0.3338068181818182
2017-01-26,8.0,6.5,-0.04642857142857144
